RELEASES
Release_Count,Latest_Release,Authors
46,2020-01-13 06:03:04+00:00,"dict_keys(['tronfoundation', 'zhaohong', 'nanfengpo', 'Yrp', 'huzhenyuan', 'olenheim', 'wubin12', 'sean-liu55', 'renchenchang', 'wubin01', 'ithinker1991', 'shydesky', 'lvs007'])"

BRANCHES
Total,Active_Last_Month,Active_3_Month,Active_Last_Year,Percent_Last_Month,Percent_3_Months,Percent_12_Months
120,20,80,113,0.16666666666666666,0.6666666666666666,0.9416666666666667

FORKS
Total,Latest_Fork,First_Fork
667,2020-02-15T13:52:06Z,2017-12-26T10:57:51Z

PULL REQUESTS
Total_Requests,Unresolved_Pulls,Resolved_Pulls,Resolved_Pull_%,Unresolved_Pull_Percentage,Oldest_Unresolved_Pull_Req
2398,3,2395,0.9987489574645538,0.0012510425354462051,2020-02-13T22:57:45Z

Resolved Pull Requests
Name,type: Bug,type: Enhancement,topic: Consensus,topic:Net,topic:DB,resolution: Wontfix,topic: Smart contract,type: Other,topic: Documentation
amount,1,3,1,1,1,1,1,1,1
percent,0.0004175365344467641,0.0012526096033402922,0.0004175365344467641,0.0004175365344467641,0.0004175365344467641,0.0004175365344467641,0.0004175365344467641,0.0004175365344467641,0.0004175365344467641

ISSUES
Total_Issues,Resolved_Issues,Unresolved_Issues,Commented_Issues,Comment_Count,Percent_Commented,Latest_Issue,Percent_Resolved,Percent_Unresolved
2912,2905,7,1099,2688,0.37740384615384615,2020-02-16T11:41:39Z,0.9975961538461539,0.002403846153846154

Resolved Issues
Name,topic: Consensus,topic: Smart contract,topic: Block/Transaction,type: Bug,type: Other,type: Enhancement,topic: gRPC/HTTP api,topic: Documentation,topic: Build,topic: Deployment,topic:Net,topic: Testnet/Privatenet,topic: Performance,topic: Resource manage,topic: Solidity,topic:DB,topic: Event subscribe,type: Announcement,type: Question,resolution: Wontfix,type: Feature Request,resolution: Needs More Information
amount,4,25,14,42,61,31,38,13,39,26,38,25,2,11,6,8,5,6,8,2,1,1
percentage,0.001376936316695353,0.008605851979345954,0.004819277108433735,0.014457831325301205,0.02099827882960413,0.010671256454388985,0.013080895008605853,0.004475043029259896,0.01342512908777969,0.008950086058519793,0.013080895008605853,0.008605851979345954,0.0006884681583476765,0.0037865748709122204,0.002065404475043029,0.002753872633390706,0.0017211703958691911,0.002065404475043029,0.002753872633390706,0.0006884681583476765,0.00034423407917383823,0.00034423407917383823
