Name,needs review,enhancement,Merge Conflict,invalid,wontfix,Needs Revisions,docker,bug,documentation,question,in progress,needs testing - pass,No testing needed,needs testing,duplicate,needs testing - fail,SECURITY,CONSENSUS,eosio.system,dev experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,needs review,documentation,high priority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amount,5,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
percent,0.102040816,0.12244898,0.020408163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISSUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total_Issues,Resolved_Issues,Unresolved_Issues,Commented_Issues,Comment_Count,Percent_Commented,Latest_Issue,Percent_Resolved,Percent_Unresolved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8630,8324,306,5072,16615,0.587717265,2020-02-16T21:22:40Z,0.964542294,0.035457706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resolved Issues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,enhancement,bug,question,docker,needs review,PRIORITY,documentation,dev experience,track-in-jira,Merge Conflict,SECURITY,invalid,wontfix,Needs Revisions,needs testing - pass,in progress,blocked,Support,duplicate,No testing needed,WASM,code review,needs testing,help wanted,Epic,eosio.system,testing,Low priority,slim,Jungle testnet,needs testing - fail,worksforme,user experience,CONSENSUS,SNAPSHOTS,build,broken link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amount,177,215,60,13,94,15,61,49,183,2,9,4,18,7,237,53,11,799,10,21,14,30,8,2,11,12,5,2,5,4,1,4,16,28,3,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
percentage,0.021263815,0.025828928,0.007208073,0.001561749,0.011292648,0.001802018,0.007328208,0.005886593,0.021984623,0.000240269,0.001081211,0.000480538,0.002162422,0.000840942,0.028471889,0.006367131,0.00132148,0.095987506,0.001201346,0.002522826,0.001681884,0.003604037,0.000961076,0.000240269,0.00132148,0.001441615,0.000600673,0.000240269,0.000600673,0.000480538,0.000120135,0.000480538,0.001922153,0.003363767,0.000360404,0.001441615,0.000120135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min_resolve_time,0:52:21,0:05:15,2:30:58,5:22:31,0:30:47,2:50:04,0:02:44,0:02:38,0:01:16,"1 day, 0:26:33",0:31:44,9:12:09,0:12:27,"1 day, 3:25:16",0:00:20,0:42:59,"8 days, 3:22:35",0:04:14,0:01:30,0:01:30,1:35:10,2:50:04,18:38:45,"99 days, 0:36:00","25 days, 22:22:03",1:01:43,"2 days, 8:17:15","6 days, 21:53:11",0:28:20,1:22:29,"4 days, 21:29:07",1:22:29,5:59:32,0:29:03,"110 days, 12:43:59","2 days, 3:31:17","12 days, 7:06:48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
max_resolve_time,"572 days, 0:59:23","546 days, 22:13:41","405 days, 0:03:34","283 days, 0:39:43","279 days, 11:15:39","72 days, 19:18:56","442 days, 5:04:43","412 days, 9:11:54","205 days, 18:04:36","303 days, 2:55:36","255 days, 2:03:58","112 days, 10:34:35","46 days, 22:18:04","264 days, 17:23:22","205 days, 18:04:36","412 days, 9:11:54","390 days, 2:01:50","388 days, 16:05:24","104 days, 16:55:32","78 days, 5:25:24","228 days, 22:21:06","99 days, 20:24:44","181 days, 0:18:19","209 days, 19:37:38","204 days, 14:26:14","158 days, 13:31:22","190 days, 6:28:11","27 days, 7:47:11","48 days, 22:33:22","181 days, 0:18:19","4 days, 21:29:07","1 day, 3:37:33","99 days, 20:24:44","341 days, 13:11:44","156 days, 18:27:05","109 days, 13:20:39","12 days, 7:06:48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
